,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,Hyde Park,41.7879,-87.5878,Private room,65,50,2,181,2020-10-29,2.43,1,355
1,4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,South Lawndale,41.85495,-87.69696,Entire home/apt,117,60,2,395,2020-07-14,2.71,1,184
2,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,41.90289,-87.68182,Entire home/apt,70,100,2,389,2021-01-09,2.75,1,365
3,9811,Barbara's Hideaway - Old Town,33004,At Home Inn,Lincoln Park,41.91769,-87.63788000000001,Entire home/apt,95,123,4,54,2021-01-15,0.65,11,282
4,10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,41.91183,-87.64,Entire home/apt,125,123,4,21,2020-11-21,0.25,11,101
5,12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Near North Side,41.90452,-87.6332,Entire home/apt,99,132,7,9,2019-01-14,0.12,1,269
6,12140,Lincoln Park Guest House,46734,Sharon And Robert,Lincoln Park,41.92335,-87.64950999999999,Private room,289,123,2,5,2021-01-04,0.07,1,179
7,22362,Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ,85811,Craig,West Town,41.89617,-87.66041,Entire home/apt,99,100,91,9,2014-10-12,0.1,2,365
8,24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Lincoln Park,41.926790000000004,-87.65521,Entire home/apt,77,123,32,37,2018-07-29,0.28,3,171
9,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,Lincoln Park,41.92693,-87.65753000000001,Entire home/apt,94,123,32,47,2020-05-11,0.36,3,213
10,28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,Logan Square,41.92083,-87.6801,Entire home/apt,79,90,2,76,2021-02-14,0.61,1,343
11,37738,Andersonville - Perfect location!,162364,Mat And Randy,Uptown,41.9729,-87.66538,Private room,110,81,3,250,2020-03-15,1.94,2,264
12,39742,Central guestroom! Walk everywhere!,170758,Eric,Near North Side,41.89377,-87.63465,Private room,75,132,2,500,2019-09-30,3.96,1,89
13,71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,50,100,2,70,2020-07-09,0.59,2,138
14,79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Uptown,41.96792,-87.65756999999999,Private room,180,81,2,151,2020-07-05,1.25,5,363
15,84042,The Explorer Room,334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,40,100,2,80,2021-02-07,0.67,2,212
16,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Uptown,41.9693,-87.65621,Private room,99,81,2,150,2020-09-26,1.26,5,363
17,126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,Uptown,41.96852,-87.65225,Private room,35,81,3,162,2020-03-08,1.37,1,0
18,133262,"Sweet Ivy Apartment #1 Relax, Recharge & Explore!",654712,Francesca,West Town,41.89243,-87.68078,Entire home/apt,100,100,14,35,2019-06-12,0.35,1,173
19,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,41.94342,-87.68121,Entire home/apt,167,112,2,35,2020-12-27,0.54,20,0
20,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,41.912890000000004,-87.63864000000001,Entire home/apt,275,123,2,56,2020-11-15,0.8,20,360
21,165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,Lake View,41.94274,-87.67321,Entire home/apt,198,95,3,60,2019-10-21,0.52,4,365
22,166667,Cozy Garden Studio,791089,Conrad,North Center,41.94274,-87.67378000000001,Entire home/apt,125,112,3,88,2019-10-19,0.75,4,365
23,166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,Lake View,41.942209999999996,-87.67327,Entire home/apt,280,95,3,22,2019-06-03,0.19,4,0
24,175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,Albany Park,41.96125,-87.72194,Entire home/apt,59,65,28,33,2019-12-16,0.29,2,307
25,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Logan Square,41.92918,-87.70219,Entire home/apt,135,90,3,521,2021-02-01,4.54,1,157
26,198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,North Center,41.95935,-87.67963,Private room,30,112,3,176,2020-11-27,1.57,1,8
27,207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,Pullman,41.6883,-87.60892,Entire home/apt,90,90,1,270,2021-01-28,2.34,2,318
28,207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Pullman,41.68909,-87.6088,Entire home/apt,39,90,30,39,2017-11-10,0.34,2,89
29,225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Logan Square,41.92543,-87.69593,Private room,79,90,2,20,2019-10-14,0.19,1,358
30,230836,Huge Bedroom with pvt marble bath,1185573,Graz Anton,Uptown,41.96331,-87.66088,Private room,125,81,365,4,2013-06-13,0.04,3,365
31,248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,Uptown,41.96797,-87.65791,Private room,90,81,2,97,2020-02-19,0.86,5,363
32,250354,Close to Michigan Ave and parks,1311953,Ronald,Near South Side,41.86051,-87.62399,Entire home/apt,170,126,180,39,2018-04-25,0.35,1,358
33,258253,Studio Apartment Unit 4,1358243,June,West Ridge,42.00692,-87.68438,Entire home/apt,48,54,32,22,2020-12-31,0.2,1,355
34,261509,You'll love Chicago! Guaranteed!,858008,Kassie,Near North Side,41.90314,-87.63494,Entire home/apt,119,132,32,62,2018-11-20,0.57,1,365
35,264547,Steps From the Best Chicago Offers,1387948,Dominic,Near West Side,41.88467,-87.64487,Entire home/apt,204,102,10,65,2019-08-11,0.61,1,363
36,267299,Family Style Home-walk to Aragon/Riviera,272671,Two For The Road,Uptown,41.96924,-87.65807,Entire home/apt,875,81,2,21,2019-01-06,0.19,5,361
37,267646,Logan Square Classic Bungalow,1313038,Mark,Logan Square,41.92716,-87.70470999999999,Private room,103,90,2,139,2019-10-20,1.24,1,0
38,275496,Downtown 3BR/2BA Loft & Amazing River View,1142145,Jim,Near West Side,41.88623,-87.6404,Entire home/apt,156,102,360,10,2014-11-08,0.12,1,365
39,289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,Edgewater,41.977940000000004,-87.65764,Private room,35,83,30,62,2021-01-31,0.56,1,216
40,289884,"Sunny Home w/ Private Bathroom, Parking, Laundry",1500490,Hailey,Logan Square,41.920629999999996,-87.68353,Private room,145,90,1,81,2019-10-28,0.77,2,355
41,290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,Bridgeport,41.827020000000005,-87.63967,Entire home/apt,130,65,3,50,2020-03-17,0.45,2,0
42,312192,Winter Specials. You'll love this apartment.,1505878,Bob,Bridgeport,41.82741,-87.63934,Entire home/apt,146,65,4,39,2020-03-15,0.51,2,0
43,345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,Kenwood,41.8077,-87.59436,Private room,85,85,2,232,2019-10-29,2.14,1,0
44,350347,"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Jay & Elisa,Lake View,41.939859999999996,-87.65473,Entire home/apt,107,95,3,534,2021-02-01,4.89,1,284
45,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,West Town,41.89862,-87.65597,Entire home/apt,168,100,2,218,2020-12-26,2.16,2,364
46,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,West Town,41.88913,-87.66763,Entire home/apt,75,100,14,189,2020-08-08,1.8,1,20
47,450648,Luxury Space - Come & Relax,2204693,Dl,Near South Side,41.86614,-87.62275,Private room,119,126,3,38,2018-06-21,0.36,1,365
48,464581,"Large, Private Logan Square Studio",2308792,Jonathan,Logan Square,41.92451,-87.69385,Entire home/apt,39,90,2,642,2021-01-31,6.21,1,0
49,484898,Charming 1906 cottage Northside,2400107,Allison,Uptown,41.97053,-87.67267,Entire home/apt,232,81,3,14,2018-06-11,0.13,1,0
50,496809,"Spacious Room with plush King Bed, Rogers Park",2453507,Estelle,Rogers Park,42.00435,-87.67501,Private room,86,71,3,36,2018-08-28,0.42,2,364
51,507517,Private Lincoln Square Garden Apt,2501182,Nate,Lincoln Square,41.96714,-87.69611,Entire home/apt,98,76,2,291,2021-02-09,2.77,1,0
52,537419,Groovy on the Lake  private bd/bth,919011,Jacqueline,Lake View,41.942859999999996,-87.63919,Private room,130,95,1,28,2015-10-20,0.27,2,365
53,542067,Logan Square Modern Vintage Garden,2273840,Sarah,Logan Square,41.93142,-87.69989,Entire home/apt,132,90,3,260,2019-12-29,2.47,1,360
54,544261,Chicago Lakefront Sailing Yacht,2189245,Daniel,Near South Side,41.85467,-87.61417,Entire home/apt,495,126,2,28,2015-07-16,0.27,1,365
55,548905,Home Away From Home,2698691,Leo,Grand Boulevard,41.82293,-87.61559,Entire home/apt,89,86,2,227,2020-02-09,2.2,1,365
56,573540,Drop-dead fab on the Lake  2bd/2bth,919011,Jacqueline,Lake View,41.942840000000004,-87.63919,Entire home/apt,490,95,1,35,2015-09-21,0.34,2,365
57,584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Lincoln Square,41.963640000000005,-87.68382,Private room,75,76,2,44,2020-10-06,0.42,2,365
58,585353,Great neighborhood! Price Drop *,2885441,Tracy,West Town,41.88961,-87.66268000000001,Private room,57,100,1,127,2020-01-20,1.21,6,365
59,585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,West Town,41.890029999999996,-87.66241,Private room,78,100,1,143,2020-03-08,1.38,6,365
60,589939,"Recent Price Drop, awesome area!",2885441,Tracy,West Town,41.89054,-87.66261,Shared room,69,100,1,66,2020-02-17,0.63,6,364
61,611839,"Stylish, comfortable room in nice Duplex",3034693,Daniela,North Center,41.93537,-87.67945999999999,Private room,43,112,7,161,2020-04-30,1.73,1,0
62,628149,Great for Students! Affordability+Location,2885441,Tracy,West Town,41.89056,-87.66086,Private room,40,100,1,97,2020-09-01,0.94,6,241
63,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Edgewater,41.99667,-87.66213,Private room,66,83,2,83,2020-11-21,0.81,2,365
64,640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Lake View,41.944320000000005,-87.67128000000001,Entire home/apt,134,95,7,56,2020-11-29,1.71,1,32
65,642065,3 Bedroom Apartment in Historic Wicker Park Home,81779,Laura,West Town,41.906859999999995,-87.67319,Private room,226,100,2,40,2020-08-13,0.46,10,1
66,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,Forest Glen,41.99244,-87.75569,Private room,55,77,3,67,2020-09-23,0.68,2,364
67,662034,Edgebrook bdr by golf course,2824576,Jeff,Forest Glen,41.99201,-87.75719000000001,Private room,50,84,3,66,2020-02-15,0.72,2,364
68,681842,Bedrm/Bath - Swanky Northside Condo.,3472696,Roxane,West Ridge,41.99348,-87.68121,Private room,50,54,3,26,2019-10-16,0.28,1,358
69,686185,Huge private br in Wicker/Ukranian,370619,Drew,West Town,41.9025,-87.66704,Private room,85,100,2,110,2020-02-17,1.07,2,365
70,697634,"2 BD Condo by downtown,park,lake",3574415,Marv,Near North Side,41.90445,-87.63336,Entire home/apt,85,132,30,150,2020-12-17,1.61,2,365
71,724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,West Town,41.889990000000004,-87.66096,Private room,39,100,1,131,2020-07-02,1.29,6,356
72,726376,"Spacious Studio, Amazing Location!",2658212,James,Lake View,41.93932,-87.65218,Entire home/apt,85,95,3,625,2021-01-02,6.17,4,62
73,727847,Palmer Treehouse - Bedroom 2,62150,Anne,Logan Square,41.92255,-87.70293000000001,Private room,70,90,2,73,2019-10-22,0.72,3,365
74,731232,Logan Square-Chicago Prime Location-Longer Stays,3804977,Paul And Nancy,Logan Square,41.92669,-87.699,Entire home/apt,141,90,2,134,2020-03-03,1.32,1,362
75,739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,Lincoln Square,41.97847,-87.68087,Entire home/apt,84,76,28,186,2020-03-12,2.01,1,114
76,753809,LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,3965428,Rob,Loop,41.88624,-87.61565999999999,Entire home/apt,130,135,31,13,2015-08-15,0.13,74,321
77,755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,Logan Square,41.92993,-87.71893,Entire home/apt,85,90,25,21,2021-02-06,0.22,3,0
78,764856,Stunning Downtown Artist Loft (West Loop),2619611,Andrew,Near West Side,41.886759999999995,-87.64935,Entire home/apt,150,102,2,255,2021-02-07,2.54,1,126
79,773127,Comfy Room & Bike in Roscoe Village,4009750,Matt,North Center,41.949940000000005,-87.682,Private room,78,112,2,128,2017-06-04,1.27,2,0
80,789429,Guest bedroom with private bath,1185573,Graz Anton,Uptown,41.961929999999995,-87.66238,Private room,99,81,365,0,,0.0,3,365
81,790016,Italian style in elegant apartment,1185573,Graz Anton,Uptown,41.96046,-87.66346,Entire home/apt,299,81,365,16,2013-08-18,0.16,3,365
82,790934,04. Pullout sofa bed in common room,2907254,Joe,West Ridge,42.016529999999996,-87.68788,Shared room,79,54,1,139,2020-02-03,1.38,18,180
83,802613,"Your Own Home, 2-Bath with Laundry and Parking!",1500490,Hailey,Logan Square,41.92285,-87.68323000000001,Entire home/apt,204,90,1,56,2019-11-02,0.56,2,365
84,824518,"Cozy, Beautiful & Vintage Drenched",2655877,Bret,West Town,41.90435,-87.67518000000001,Entire home/apt,95,100,28,87,2019-04-03,0.89,1,203
85,841024,Lux 2bd 2bt Lakeview-Wrigleyville,1254363,Mark,Lake View,41.9443,-87.64661,Entire home/apt,239,95,32,15,2017-03-19,0.16,2,365
86,863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,Lincoln Park,41.9217,-87.65959000000001,Private room,85,123,2,98,2020-03-29,1.06,2,139
87,872247,Modern and Spacious,3217184,Priti,Lower West Side,41.859390000000005,-87.65271,Entire home/apt,125,70,7,164,2020-12-27,1.73,2,44
88,887038,MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,101521,Red,Lincoln Park,41.9263,-87.65567,Entire home/apt,69,123,32,36,2017-05-26,0.38,3,294
89,903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,Logan Square,41.92649,-87.7138,Private room,110,90,2,145,2020-03-19,1.55,1,172
90,929914,Charming apartment in Old Town,5007980,Lynn,Lincoln Park,41.91316,-87.63813,Entire home/apt,115,123,2,318,2021-01-03,3.31,1,254
91,931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,East Garfield Park,41.88449,-87.69659,Private room,101,49,3,23,2018-11-02,0.24,1,362
92,949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,West Town,41.90677,-87.66788000000001,Private room,50,100,3,133,2020-03-02,1.37,1,0
93,960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,West Town,41.89505,-87.65449,Entire home/apt,139,100,1,297,2021-01-29,3.16,17,350
94,979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,Rogers Park,42.004979999999996,-87.66712,Private room,69,71,2,207,2020-03-15,2.17,4,324
95,979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Rogers Park,42.00623,-87.66794,Private room,59,71,2,240,2020-02-16,2.53,4,324
96,979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Rogers Park,42.004259999999995,-87.66693000000001,Private room,59,71,2,233,2020-02-23,2.43,4,324
97,983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Rogers Park,42.003809999999994,-87.67081999999999,Entire home/apt,159,71,2,176,2020-02-17,1.88,4,364
98,1020810,Beautiful Condo in Chicago,3843347,Andrea,Near North Side,41.8943,-87.62609,Entire home/apt,137,132,30,30,2020-04-06,0.31,3,318
99,1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,South Lawndale,41.852779999999996,-87.70853000000001,Private room,45,60,2,6,2016-07-31,0.09,4,88
100,1027463,Chicago Women's ResidenceFlorenceRm,5654677,Urban Art,North Lawndale,41.85423,-87.70784,Private room,45,45,2,10,2019-10-24,0.15,4,89
101,1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,South Lawndale,41.85308,-87.70718000000001,Private room,45,60,2,5,2019-10-13,0.17,4,88
102,1056430,Charming space in Boystown/Lakeview,5830215,Albert And Antonio,Lake View,41.94376,-87.65164,Private room,79,95,2,320,2020-03-15,3.35,1,309
103,1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Rob,Near South Side,41.852779999999996,-87.62453000000001,Entire home/apt,20,126,30,22,2020-08-03,0.23,74,325
104,1096191,Studio at the Lake,6023157,Nataliya,Uptown,41.97271,-87.65236,Entire home/apt,46,81,30,48,2020-12-09,0.51,1,3
105,1113259,Private room in a cozy city condo,6109924,Nicole,Rogers Park,42.01761,-87.67987,Private room,43,71,1,132,2020-03-15,1.39,1,0
106,1171860,"Lincoln Park Studio, Great Value!",2658212,James,Lincoln Park,41.92628,-87.64026,Entire home/apt,75,123,4,543,2021-02-01,5.85,4,30
107,1183249,"Boystown Studio, Outstanding Value!",2658212,James,Lake View,41.9395,-87.64483,Entire home/apt,65,95,5,504,2020-10-31,5.36,4,20
108,1185749,3 Bedroom Charming Vintage Hideaway,1664593,Matt & Christy,Near West Side,41.87086,-87.68305,Entire home/apt,111,102,30,316,2021-01-09,3.36,1,0
109,1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,West Town,41.91095,-87.67783,Entire home/apt,128,100,4,182,2020-10-03,1.94,2,364
110,1225964,Chicago 10 Minutes to MAG MILE!,6687262,Sharon,Lake View,41.93804,-87.64134,Private room,70,95,2,9,2014-05-05,0.1,3,334
111,1249397,Spacious 3BD Home in Ravenswood,6808293,Jon,Lincoln Square,41.97009,-87.67423000000001,Entire home/apt,130,76,1,11,2019-11-30,0.12,2,233
112,1278457,Jumbo 4br in the Wicker/Ukranian,370619,Drew,West Town,41.90439,-87.68212,Entire home/apt,279,100,5,22,2018-01-04,0.25,2,285
113,1304049,Private room near UIC Medical Dist.,7089017,Sharon,Near West Side,41.8719,-87.68486,Private room,103,102,1,103,2019-10-23,1.13,1,365
114,1321332,Lincoln Park Single Family Home,946954,Jeff,Lincoln Park,41.92913,-87.66920999999999,Entire home/apt,427,123,2,77,2020-08-10,0.86,1,357
115,1325769,"Historic walk-up, safe area, close to everything!",7195599,Kelly,Lincoln Park,41.91355,-87.63675,Entire home/apt,100,123,1,23,2019-06-30,0.25,1,19
116,1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,Logan Square,41.92083,-87.68896,Private room,70,90,3,313,2021-02-02,3.46,1,318
117,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,Lake View,41.9459,-87.65460999999999,Private room,54,95,1,41,2020-11-29,0.48,6,317
118,1369384,Private bed & bath w/garage parking,7385510,Anna,Irving Park,41.95564,-87.71154,Private room,61,75,2,125,2018-11-25,1.36,1,364
119,1392594,"Bright open house, garden & deck",7528098,Eileen,Uptown,41.96952,-87.67239000000001,Entire home/apt,168,81,3,24,2019-09-16,0.26,1,327
120,1428024,Cozy room in Charming Apartment,4509503,Jessica,West Town,41.91037,-87.68721,Private room,43,100,2,87,2020-11-13,0.97,1,0
121,1461451,02b. Twin bed in Coed Space,2907254,Joe,West Ridge,42.016529999999996,-87.68788,Shared room,16,54,1,158,2021-01-29,1.72,18,178
122,1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,Grand Boulevard,41.81266,-87.61586,Private room,55,86,2,123,2020-02-16,1.34,1,364
123,1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,West Ridge,42.016529999999996,-87.68788,Shared room,16,54,1,99,2020-08-30,1.08,18,144
124,1502674,The Biddle House (#2),33004,At Home Inn,Lincoln Park,41.913070000000005,-87.64012,Entire home/apt,130,123,4,41,2020-12-26,0.45,11,57
125,1502700,The Biddle House (WHOLE HOUSE),33004,At Home Inn,Lincoln Park,41.91406,-87.63934,Entire home/apt,401,123,4,16,2019-09-02,0.2,11,233
126,1516154,Best Location Millennium Park Extended Stay POOL,3965428,Rob,Loop,41.88642,-87.61695,Entire home/apt,80,135,31,18,2015-08-16,0.2,74,365
127,1541692,Private room in Chicago,8217410,Aisha & Antonio,Oakland,41.82936,-87.6048,Private room,55,90,3,94,2019-11-21,1.16,1,365
128,1554433,Charming Home in Chicago,6088938,Eric,Beverly,41.71348,-87.67195,Private room,49,39,2,166,2020-09-07,1.83,1,364
129,1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,Lower West Side,41.85763,-87.66235999999999,Private room,30,70,2,187,2020-03-29,4.96,2,0
130,1584422,"Magic Factory, Chef kitchen, art, dine, relax 3bdr",2810938,Carole,Near North Side,41.90607,-87.6488,Entire home/apt,175,132,3,28,2021-02-14,0.31,3,97
131,1584509,The Historic Florsheim Mansion,8442094,Russ,Near North Side,41.90697,-87.62941,Entire home/apt,328,132,2,62,2020-12-23,0.72,1,332
132,1587078,Gorgeous Apartment in Bucktown,4908881,Irena & Martin,Logan Square,41.91638,-87.68422,Entire home/apt,149,90,2,293,2020-03-16,3.23,4,294
133,1591370,Private Northside Chicago Apt Near Beach & Transit,8489460,Holly + Mark,Rogers Park,42.011140000000005,-87.67634,Entire home/apt,98,71,2,103,2021-02-14,1.14,1,357
134,1614802,Lincoln Park/De Paul area.,8595700,Carin,Lake View,41.93455,-87.66141,Private room,64,95,4,275,2020-10-23,3.3,1,363
135,1620098,Bedroom in Lincoln Park apartment.,8619275,Leszek,Lincoln Park,41.92801,-87.64443,Private room,43,123,1,11,2016-09-24,0.12,1,89
136,1623463,East Pilsen,8463536,Maximiliano,Lower West Side,41.858999999999995,-87.6462,Entire home/apt,103,70,2,40,2020-03-01,0.87,1,89
137,1641601,Private Nook in Leafy Andersonville,8626951,CC & Tun,Uptown,41.97282,-87.67257,Private room,70,81,4,275,2020-03-14,3.04,2,263
138,1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,Chatham,41.728359999999995,-87.6136,Private room,42,49,2,84,2020-03-14,0.93,1,355
139,1656336,Park Views-Walk to Orange Line(MDW),8781008,Jenny,Mckinley Park,41.82516,-87.67456,Entire home/apt,55,50,1,276,2020-08-22,3.14,2,20
140,1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,West Town,41.89322,-87.68571999999999,Entire home/apt,92,100,3,326,2020-12-22,3.77,4,0
141,1664842,Chic 1 BR apt in Historic Edgewater,8818844,Ryan,Edgewater,41.98773,-87.65602,Entire home/apt,57,83,90,11,2016-12-27,0.13,1,187
142,1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,West Town,41.89665,-87.69719,Entire home/apt,86,100,180,113,2021-01-04,1.79,1,167
143,1672647,Victorian greystone near Loyola U!,2707385,Caitlin & Lisa,Edgewater,41.99772,-87.67329000000001,Entire home/apt,95,83,3,234,2021-01-02,2.6,1,277
144,1678422,Room in Penthouse in Lakeview,8852597,Hector,Lake View,41.93465,-87.65754,Private room,75,95,2,28,2019-10-01,0.31,3,89
145,1721045,*Recent Price Drop! Superb location!,2885441,Tracy,West Town,41.890029999999996,-87.66254,Private room,71,100,1,96,2020-08-03,1.07,6,365
146,1732652,LUX Condo Downtown BEST LOCATION ON MAG MILE AVE,3965428,Rob,Near North Side,41.89232,-87.62369,Entire home/apt,153,132,32,7,2014-09-08,0.08,74,365
147,1746734,Spacious Stylish One Bedroom Apt In HydePark,9192868,Rebecca,Hyde Park,41.79984,-87.59465,Entire home/apt,69,50,2,342,2021-01-03,3.83,1,237
148,1755737,"Lake View 2BR/2Bath w/ Pool, Gym. Annual lease.",9233414,Ravi,Lake View,41.94036,-87.64068,Entire home/apt,155,95,365,0,,0.0,1,363
149,1759266,Lakeview / Lincoln Park Vintage,9249272,Mark,Lake View,41.93396,-87.65897,Entire home/apt,120,95,2,34,2020-06-15,0.42,1,263
150,1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanda,Lower West Side,41.848009999999995,-87.68127,Private room,70,70,2,120,2020-03-31,1.34,3,365
151,1769731,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,Lake View,41.94747,-87.65417,Entire home/apt,279,95,2,0,,0.0,4,219
152,1772920,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,Lake View,41.94842,-87.65307,Entire home/apt,379,95,2,2,2015-02-03,0.02,4,225
153,1773021,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,Lake View,41.94774,-87.65420999999999,Entire home/apt,479,95,2,0,,0.0,4,224
154,1773025,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,Lake View,41.9475,-87.6542,Entire home/apt,479,95,2,0,,0.0,4,224
155,1778910,South Loop Cozy 2BdRm parking&WiFi&NetFlix,9339313,Leon,Lower West Side,41.85675,-87.65501,Entire home/apt,59,70,1,480,2020-06-16,5.86,12,0
156,1810118,LARGE Private 1BR/Full Bath near U of Chicago,9483312,Ryan,Woodlawn,41.77892,-87.59886,Private room,59,52,5,330,2020-08-06,3.87,1,88
157,1837153,Musician's Quarters,9601147,Chester,Hyde Park,41.79963,-87.59477,Entire home/apt,115,50,3,47,2020-09-26,0.54,1,365
158,1852665,BIG LOFT Location RIVER WEST Brick,3965428,Rob,Near West Side,41.88575,-87.65052,Entire home/apt,140,102,60,0,,0.0,74,365
159,1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,Lincoln Park,41.932829999999996,-87.64315,Entire home/apt,182,123,1,154,2020-09-20,1.77,1,337
160,1900901,"Delightful Bedroom in vintage home,  Rogers Park",2453507,Estelle,Rogers Park,42.004,-87.67503,Private room,81,71,3,27,2017-09-03,0.33,2,364
161,1917311,Luxury Home South Loop,4547638,Rochelle,Loop,41.86991,-87.62856,Entire home/apt,229,135,3,23,2018-06-04,0.26,1,0
162,1921670,The Hideout,9959757,Jedidiah,Avondale,41.94663,-87.70783,Entire home/apt,51,80,2,251,2021-01-31,3.43,4,0
163,1944802,High Floor South Loop GYM POOL,3965428,Rob,Near South Side,41.85453,-87.62052,Entire home/apt,200,126,60,14,2016-10-15,0.17,74,365
164,1954633,Lincoln Park/DePaul  - Private room & bathroom,3217364,Mary Kay,Lincoln Park,41.93101,-87.65878000000001,Private room,97,123,1,183,2020-09-06,2.21,1,0
165,1960332,Admire Colorful Art at an Eclectic Wrigleyville Home,10129776,Teri,Lake View,41.944320000000005,-87.65988,Entire home/apt,101,95,3,14,2021-01-17,0.44,6,312
166,1964520,Month to Month Your Home Away from Home,10129776,Teri,Lake View,41.94993,-87.66173,Entire home/apt,83,95,3,35,2021-01-31,0.75,6,343
167,1965410,Wrigleyville Gem-Eclectic Artsy Style You'll Love!,10129776,Teri,Lake View,41.94943,-87.66129000000001,Entire home/apt,101,95,2,37,2020-11-25,0.65,6,286
168,1989590,Furnished  2BR Dog friendly home,10260239,Laura And Joel,Logan Square,41.91472,-87.69073,Entire home/apt,45,90,4,201,2020-09-20,2.33,1,50
169,2011301,Bucktown - Great Northside Location,5166793,Carrie & Brad,Logan Square,41.92118,-87.68678,Private room,75,90,1,199,2020-10-11,2.27,2,89
170,2012443,Great space in hip neighborhood!,7245979,Jason,West Town,41.89278,-87.66131,Private room,36,100,3,188,2020-03-18,2.32,1,110
