,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6158,47705379,Luxury condo in West Town with garage parking,341859176,Jonathan,West Town,41.89682,-87.66257,Entire home/apt,150,100,2,0,,0.0,1,0
6159,47706642,Cozy Space Near the Lake,44000344,Nancy,Lake View,41.941720000000004,-87.64163,Entire home/apt,88,95,2,0,,0.0,1,355
6160,47707068,Live + Work + Stay + Easy | 1BR in Chicago,359234447,Kia,Near North Side,41.89111,-87.62205,Entire home/apt,132,132,33,0,,0.0,39,319
6161,47714064,TOWNHOME W/ROOFTOP | 1.2 MILES DOWNTOWN I PARKING,244000490,Goathote,Near North Side,41.90997,-87.6386,Entire home/apt,189,132,2,2,2021-01-24,1.76,21,360
6162,47714624,Well-kept apartment home | 1BR in Evanston,359234447,Kia,Rogers Park,42.0196,-87.67511,Entire home/apt,104,71,30,0,,0.0,39,339
6163,47720373,Small studio apartment in the heart of Chicago,229432216,Candice,Near North Side,41.903729999999996,-87.6286,Entire home/apt,49,132,13,0,,0.0,1,36
6164,47721524,Cozy WestTown Condo,200395343,Brian,West Town,41.89506,-87.66914,Private room,68,100,1,0,,0.0,4,62
6165,47730404,MAG MILE MEGA ENTIRE FLOOR 4BD/4BA+Parking&Rooftop,179367980,Wendy And Matt,Near North Side,41.89953,-87.6203,Entire home/apt,410,132,2,0,,0.0,13,149
6166,47732195,2BR Guest Suite in Logan Square / West Bucktown,384565954,Shay,Logan Square,41.9152,-87.69218000000001,Entire home/apt,100,90,2,1,2021-02-14,1.0,1,52
6167,47734739,Immaculate Loft ⧫ Avondale ⧫ Designer Touches,195799805,Julie Ann,Avondale,41.93574,-87.71614,Entire home/apt,200,80,2,3,2021-02-14,3.0,1,361
6168,47734866,The Cozy Room on Garfield Square,15515783,Dan,Humboldt Park,41.88957,-87.71762,Private room,30,74,32,0,,0.0,3,166
6169,47740144,Charming private coach house,9795215,Christina,West Town,41.896809999999995,-87.67605999999999,Entire home/apt,104,100,1,0,,0.0,1,142
6170,47740507,Entire place steps from the Pink Line,19002255,Camila,North Lawndale,41.85557,-87.70561,Entire home/apt,74,45,2,1,2021-02-15,1.0,1,100
6171,47743138,15- Room 1 Pershing Inn,34191427,Sonia,Brighton Park,41.82308,-87.68678,Private room,45,45,7,0,,0.0,5,365
6172,47745497,Deluxe King in Boutique River North/Mag Mile Hotel,373615451,The Chicago Hotel Collection,Near North Side,41.89971,-87.63668,Private room,62,132,1,10,2021-02-17,10.0,10,28
6173,47746400,LOVELY FLAT  UNITED CENTER RUSH HOSPITAL CITY CENT,92415665,Erhn,Near West Side,41.8796,-87.68305,Private room,26,102,2,1,2021-02-01,1.0,4,363
6174,47748241,Brand-new Green Home with Contemporary Design,51157353,Yang,Uptown,41.96474,-87.65374,Entire home/apt,80,81,2,0,,0.0,1,21
6175,47754694,"Unique Apartment in Pilsen, Chicago",177511412,Joceline,Lower West Side,41.84867,-87.67729,Entire home/apt,60,70,1,1,2021-01-22,1.0,2,346
6176,47756555,Rogers Park Radiance! Walk to Loyola & Lakefront,384256562,Kristin,Rogers Park,42.00482,-87.67225,Entire home/apt,56,71,1,1,2021-02-14,1.0,3,364
6177,47756710,Rest & Relaxation in Rogers Park!,384256562,Kristin,Rogers Park,42.005390000000006,-87.6716,Entire home/apt,56,71,1,1,2021-02-15,1.0,3,364
6178,47756794,Cozy & Clean 1BD Retreat in Rogers Park,384256562,Kristin,Rogers Park,42.00528,-87.67191,Entire home/apt,56,71,1,0,,0.0,3,364
6179,47757226,WHOLE FLAT UNITED CENTRE/RUSH HOSPITAL/CITY CENTRE,92415665,Erhn,Near West Side,41.879940000000005,-87.68217,Private room,125,102,1,0,,0.0,4,359
6180,47758874,Live + Work + Stay + Easy | 2BR in Chicago,359234447,Kia,Near North Side,41.89111,-87.62205,Entire home/apt,158,132,33,0,,0.0,39,357
6181,47760642,Private Basement Guest Suite in Portage Park,134310050,Pat,Belmont Cragin,41.935829999999996,-87.77663000000001,Private room,35,59,1,0,,0.0,2,57
6182,47772241,*RIVER NORTH* Downtown Chicago!,66143583,Lauren,Near North Side,41.89376,-87.63546,Entire home/apt,75,132,3,2,2021-02-15,2.0,1,175
6183,47782232,Student Housing 30 E,310065410,Martina,Loop,41.87276,-87.62733,Private room,40,135,32,0,,0.0,1,180
6184,47785775,LUXURY CONDO IN HYDE PARK,77414650,Daz,Kenwood,41.80343,-87.58622,Entire home/apt,217,85,1,1,2021-01-24,1.0,6,365
6185,47798068,Lakeview (Southport Corridor) Condo with Rooftop,5972772,Scott,Lake View,41.93983,-87.66351999999999,Entire home/apt,336,95,2,0,,0.0,1,79
6186,47799653,Sunny Skyline Views! 3BD/2BA w/ Private Roof Deck,23621700,Jacinthe,West Town,41.90867,-87.67201999999999,Entire home/apt,246,100,1,0,,0.0,1,84
6187,47810058,Beautiful Convertible in heart of the city,375129798,Arpita,Loop,41.88746,-87.61933,Entire home/apt,85,135,7,1,2021-02-07,1.0,2,176
6188,47814754,Entire apartment for you | 2BR in Chicago,359234447,Kia,Lincoln Park,41.92751,-87.65241,Entire home/apt,224,123,33,0,,0.0,39,317
6189,47819521,East Side Cozy Casa,385430348,Walonza,East Side,41.70697,-87.53950999999999,Entire home/apt,275,225,1,0,,0.0,1,80
6190,47822885,Chicago Terrace,344024483,Jeremy,Washington Heights,41.70928,-87.63377,Entire home/apt,125,40,32,0,,0.0,1,365
6191,47826269,Spectacular Pill Hill Home!!!,331920658,Sam,Calumet Heights,41.72781,-87.58424000000001,Entire home/apt,136,16,4,0,,0.0,1,231
6192,47833170,2 bedroom in the heart of Bridgeport,94425307,Jamie,Armour Square,41.83882,-87.63418,Entire home/apt,75,60,2,1,2021-02-07,1.0,1,0
