id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13509392,Penthouse of the Southwest with Patio Logan Square,4069585,Liz,,Logan Square,41.92636,-87.70182,Entire home/apt,199,2,48,2020-08-20,0.84,4,298
13522012,"Garden Room - King Bed, Spacious Long Term",22608682,Ryan,,East Garfield Park,41.88302,-87.7096,Private room,27,3,402,2021-02-04,7.07,9,347
13532621,Chicago Pilsen 2Br,27659902,Iryna,,Lower West Side,41.84812,-87.68518,Entire home/apt,40,14,2,2017-09-26,0.04,1,0
13547280,1 BR Bucktown/Wicker Pk-Grdn Apt. - Great Location,77972775,Doug,,West Town,41.91314,-87.67462,Entire home/apt,100,2,39,2020-12-31,0.70,2,363
13621242,ENTIRE CITY ROW HOUSE  WITH 2 CAR PARKING & YARD,25715675,Joyce,,Near West Side,41.88258,-87.69194,Entire home/apt,65,3,252,2021-01-25,4.49,2,56
13635380,"Egyptian Room - King Bed, 1 Block from CTA Train",22608682,Ryan,,East Garfield Park,41.88302,-87.7096,Private room,21,3,353,2020-08-09,6.24,9,322
13643020,Charming Vintage Lincoln Park Row Home,79173760,Jackie,,Lincoln Park,41.92214,-87.63905,Entire home/apt,300,2,12,2017-09-24,0.23,1,0
13656154,Urban Lincoln Park hideaway w/free street parking!,40698494,Timothy,,Lincoln Park,41.92754,-87.66719,Entire home/apt,65,1,105,2021-01-20,2.08,1,0
13656318,"Florence Room - 3min to CTA, Long Term, Roomy",22608682,Ryan,,East Garfield Park,41.88302,-87.7096,Private room,24,3,377,2020-03-15,6.91,9,257
13666998,Easily accessible Uptown room,61402703,Cameron,,Uptown,41.96827,-87.6625,Private room,72,1,64,2020-07-29,1.14,1,0
13687465,Logan Square One Bedroom  Entire Apartment,1262452,Ryan,,Logan Square,41.92442,-87.70839,Entire home/apt,75,7,49,2020-03-31,0.95,1,0
13687910,"South Loop 2 bedroom, bathroom, free parking, WiFi",9339313,Leon,,Near West Side,41.86284,-87.64872,Entire home/apt,59,1,328,2021-02-12,5.79,12,352
13692886,Gorgeous Private Home In Hyde Park Chicago,79808134,Jannifer,,Kenwood,41.80627,-87.60332,Entire home/apt,80,1,0,,,1,168
13699494,"Cute Room, Trendy Area, Rehabbed Apt",4409207,Ali,,Avondale,41.94099,-87.72177,Private room,30,6,20,2018-04-17,0.42,1,0
13713501,Private Bed and Bathroom in a Great Location,68529496,Diana,,West Town,41.89569,-87.68302,Private room,77,1,156,2020-09-21,2.83,1,360
13714745,Charming 4 Bed 2 Bath Duplex in Wrigleyville,11827690,Benjamin,,Lake View,41.94932,-87.65252,Entire home/apt,147,1,167,2021-02-15,3.02,1,297
13735299,Spacious Duplex Condo Min From Loop,1880651,Taeisha,,West Town,41.90249,-87.6961,Entire home/apt,289,2,55,2019-12-13,0.99,1,355
13743298,Bucktown Studio Apartment,77545186,Anthony,,Logan Square,41.91735,-87.67135,Entire home/apt,67,2,148,2020-03-16,2.64,1,0
13746300,Cozy Garden Unit Located in North Center,46939427,Anthony,,North Center,41.95499,-87.69006,Entire home/apt,132,2,26,2020-09-06,0.46,5,365
13761202,Urban Oasis/10 min to loop via Pink Line/+Parking,10815319,Matteo,,Lower West Side,41.85666,-87.66925,Entire home/apt,79,1,33,2020-11-29,0.59,1,0
13768369,Beautiful Spa Like Suite on the North side!,46939427,Anthony,,North Center,41.95617,-87.68924,Entire home/apt,132,2,29,2021-02-15,0.52,5,360
13776092,Super Comfortable Bedroom For Frequent Travelers,76133827,Anny,,West Town,41.89558,-87.66266,Private room,71,2,113,2020-08-16,2.03,7,341
13789072,3-QueenbdFreeParkgMcCormick43GrnTrain,42524732,Kay,,Grand Boulevard,41.81665,-87.62216,Private room,45,1,23,2019-10-20,0.41,10,364
13795794,"Clean & Modern, entire apartment, 1 bedroom",81092993,Donna,,Portage Park,41.95313,-87.76376,Entire home/apt,95,3,26,2020-11-10,0.84,2,315
13798441,"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",81125437,Julie,,Logan Square,41.92121,-87.68294,Entire home/apt,72,2,120,2021-02-01,2.14,1,62
13824546,"Pilsen loft, private rm, close to everything",6764018,Ashley,,Lower West Side,41.85889,-87.64191,Private room,50,2,4,2017-08-18,0.09,1,0
13824783,Top floor of a city cottage (up to 6 guests),55020055,Russ,,Lincoln Square,41.97765,-87.68416,Private room,31,3,167,2021-01-09,2.99,1,71
13844204,Matcha Room Hyde Park,9728432,Vilay,,Hyde Park,41.80212,-87.59911,Private room,70,1,177,2020-03-15,3.17,4,234
13857415,Really nice private room and bathroom with parking,20538405,Baila,,Hyde Park,41.79055,-87.59796,Private room,80,2,158,2020-11-17,2.82,2,325
13858506,Desert Room Hyde Park,9728432,Vilay,,Hyde Park,41.80049,-87.59939,Private room,70,1,179,2020-03-15,3.20,4,49
13859218,Chicago-Lincoln Park-Pvte Bdrm-Close to Everything,81884236,Dany,,Lincoln Park,41.92108,-87.63928,Private room,39,1,89,2020-09-07,1.59,2,90
13861389,HUGE Apartment NEAR TRAINS/BUS. FREE PARKING,81724065,Elizabeth,,Irving Park,41.95514,-87.72945,Entire home/apt,160,2,45,2018-11-24,0.81,1,141
13884932,Luxurious Four-Level Home with Personal Touches,71660256,Jeremy,,Lake View,41.9377,-87.66811,Entire home/apt,1400,2,24,2020-11-19,0.43,1,363
13890897,One bedroom apartment on first floor,77956851,Anna,,Bridgeport,41.83185,-87.65405,Entire home/apt,48,3,147,2021-01-16,2.66,1,88
13893848,Lincoln Park Comfort Suite,82303206,Malia,,Lincoln Park,41.93225,-87.64709,Private room,175,2,56,2020-03-15,1.00,1,0
13896300,Condo near downtown Hyde Park,82331248,Amy,,Hyde Park,41.80185,-87.59715,Private room,150,3,4,2018-09-15,0.09,1,0
13928644,5-Star Private Suite- Safe & Cozy for up to 4!,41261231,Emily,,Humboldt Park,41.91103,-87.71969,Entire home/apt,188,2,96,2019-08-04,1.73,1,0
13953306,Lincoln Square In-laws Suite: Private Entrance,65964129,Axel,,Lincoln Square,41.97104,-87.69561,Private room,40,2,25,2021-02-14,4.87,1,69
13960617,Chicago Historic building,91280,Fernanda,,Hyde Park,41.80127,-87.60143,Entire home/apt,67,15,19,2019-12-21,0.35,1,337
13961352,Garden Apartment in Historic Hyde Park Mansion,12973246,Darryl,,Kenwood,41.80268,-87.59577,Entire home/apt,175,2,71,2020-02-17,1.32,1,0
13967723,"Charming, Perfectly Located Logan Square Apt",1559709,Amanda,,Logan Square,41.92257,-87.70115,Entire home/apt,76,1,154,2020-03-08,2.75,1,0
13972956,Old Town Condo - 2020 summer rental -,47936109,Bridget,,Near North Side,41.91059,-87.63911,Entire home/apt,150,5,11,2020-01-01,0.20,1,138
13981725,South Loop 2 BEDROOM - MASTER SUITE BATH|By Target,3965428,Rob,,Loop,41.8677,-87.63306,Entire home/apt,220,60,6,2017-07-09,0.11,74,365
14005549,#43-Close Loyola University &  beach,13389580,Ed,,Rogers Park,42.01174,-87.66473,Entire home/apt,95,3,5,2020-11-22,0.09,5,47
14009467,Bright Cozy Artist Loft,16027235,Krista,,West Town,41.91021,-87.67685,Entire home/apt,99,3,105,2021-01-03,2.31,1,269
14016520,Extremely Comfortable Room For Travel Lovers,76133827,Anny,,West Town,41.89636,-87.66241,Private room,92,1,47,2020-09-10,0.84,7,87
14028571,"Lincoln Park-Chicago Dwntown- Pvte Bdrm ""Gallery""",81884236,Dany,,Lincoln Park,41.92403,-87.6405,Private room,39,1,102,2020-11-28,1.83,2,90
14041642,"Small, clean Basement apartment. private",33424154,Juan,,Avondale,41.93618,-87.69538,Entire home/apt,70,2,81,2020-10-21,1.45,1,89
14056171,"Graystone, Garden & Walk to University of Chicago",20914599,Tony,,Kenwood,41.80447,-87.59176,Entire home/apt,125,1,33,2019-10-22,0.61,1,0
14057684,"Sunny Large Apartment, Near Beautiful Public Pool",233562,Susan,,West Town,41.88985,-87.66175,Private room,51,2,175,2020-03-09,3.13,1,170
14058443,2 Bedrooms- Comfy Chicago Basement disinfected!,51946578,Roberto,,Hermosa,41.92359,-87.7392,Entire home/apt,60,1,328,2021-02-15,5.87,2,0
14058848,Bright One Bedroom in the HEART of Wicker Park!,84374485,Gina,,West Town,41.90646,-87.66635,Entire home/apt,120,1,4,2019-07-28,0.09,1,0
14071876,"Flat in Art Deco Private Club & Walk to Shows, Dining & L",52855427,Aaron,,Uptown,41.96937,-87.65686,Entire home/apt,71,2,267,2020-12-06,4.79,1,288
14084875,Penthouse,27164484,Tadas,,Oakland,41.82102,-87.60632,Entire home/apt,420,4,7,2017-10-22,0.13,1,0
14085322,West Pilsen (wepi) Garden Studio,24462349,Nathan,,Lower West Side,41.85809,-87.67762,Entire home/apt,68,2,449,2021-02-15,8.07,1,86
14089727,Snug Sofa in Great Neighborhood,871911,Mo  &  Ganna,,Lake View,41.94501,-87.65083,Entire home/apt,46,1,121,2020-11-12,2.17,4,288
14091465,Private Floor - 8 miles from ORD + Shopping/Food,84771679,Anthony,,Belmont Cragin,41.93484,-87.78703,Entire home/apt,55,2,31,2020-10-18,0.57,1,355
14091800,Vintage Apartment in Century Home with Parking,23496786,Shawn,,Edgewater,41.9796,-87.66739,Entire home/apt,150,1,122,2020-03-15,2.56,1,0
14115665,Private Room in Cozy Townhouse (Harold Washington),35412645,Aughty,,Greater Grand Crossing,41.76769,-87.63009,Private room,39,1,46,2021-01-31,0.85,3,74
14115706,Private Room in Cozy Townhouse (J B P DuSable),35412645,Aughty,,Greater Grand Crossing,41.76836,-87.62937,Private room,39,1,45,2020-09-20,0.83,3,89
14115711,Private Room in Cozy Townhouse (Barack Obama),35412645,Aughty,,Greater Grand Crossing,41.76769,-87.63009,Private room,39,1,33,2020-08-15,0.61,3,89
14122332,Spacious natural light LP townhouse,84493416,Jillian,,Lincoln Park,41.92386,-87.65773,Entire home/apt,200,2,64,2018-03-19,1.16,1,0
14126256,"Private five room, 1000 sq ft. apartment",43677414,Dennis,,Edgewater,41.99327,-87.67272,Entire home/apt,125,2,107,2020-11-29,1.93,1,268
14141704,"Modern, Super-CLEAN, Garden Level w/ Master Bath",12955486,Luke & Ligia,,Edgewater,41.99067,-87.6609,Private room,45,8,12,2020-11-03,0.22,3,233
14141861,"Modern, Super-CLEAN, Garden Level Bedroom 1",12955486,Luke & Ligia,,Edgewater,41.98905,-87.66186,Private room,41,8,16,2020-03-31,0.30,3,284
14144295,"Explore the City from an Elegant, Urban Retreat",41767444,Mar & De,,West Town,41.89199,-87.65802,Entire home/apt,99,2,231,2021-02-14,4.16,4,352
14154418,Wicker Park Coach House,10781206,Heidi,,West Town,41.9067,-87.67738,Entire home/apt,159,3,156,2021-01-03,2.87,1,50
14166242,Hip Chicago Apartment - FREE Parking Spot Included,24129606,Leo & Alex,,Logan Square,41.91545,-87.71085,Entire home/apt,64,1,485,2021-02-16,8.74,2,350
14167586,"Large room-private bth and balcony, Wicker Park!!!",27232871,Fabio,,West Town,41.90004,-87.67184,Private room,78,1,195,2020-11-03,3.51,2,346
14186032,Bronzeville Treasure near Hyde Park,39592256,Kristen,,Grand Boulevard,41.80715,-87.61169,Entire home/apt,68,3,137,2021-01-24,2.52,1,324
14197548,'Secret Garden' Apartment in Wrigleyville,22038915,Stephen,,Lake View,41.94591,-87.65205,Entire home/apt,55,2,221,2020-11-20,4.04,1,175
14202777,Trendy Old Town Loft,45358593,Michael,,Near North Side,41.90823,-87.63424,Entire home/apt,125,2,5,2017-09-03,0.11,1,0
14202881,Kitchy Large1B steps to beach Aragon & Riv theater,67110574,Jenna,,Uptown,41.96785,-87.65179,Entire home/apt,250,1,56,2020-03-15,1.05,1,0
14215568,Siddharth Arya,31050127,Siddharth,,Hermosa,41.93523,-87.7405,Private room,30,60,45,2021-01-16,0.81,2,365
14216457,"Logan Square, light filled, private space.",1535908,Sarah,,Logan Square,41.92796,-87.7086,Entire home/apt,113,2,20,2018-11-11,0.48,1,0
14221576,Wicker Park Large 2bd 2ba in Intimate 2-flat Bldg.,14727364,Samuel,,West Town,41.90603,-87.6785,Entire home/apt,128,3,73,2021-01-28,1.35,1,19
14238448,Cozy 2 Bedroom Logan Square apt. by transportation,74207440,Daniel,,Logan Square,41.91642,-87.70351,Entire home/apt,42,1,338,2020-03-11,6.27,1,0
14296844,Spacious Old Town Loft in a Great Location.,45237292,John,,Near North Side,41.91037,-87.64178,Entire home/apt,169,1,224,2020-12-20,4.16,1,359
14298102,"Large Bedroom, Private Bath, Near Stores & Bus [M3",18714715,Aiste,,Near West Side,41.88097,-87.68732,Private room,65,14,17,2020-08-01,0.31,9,180
14317649,Cozy One Bedroom on the River (River North),11043492,Julia,,Near North Side,41.89272,-87.64185,Entire home/apt,76,2,13,2018-09-17,0.24,1,0
14339201,Historic Chicago Style  Bungalow !,87804841,Francisco,,Portage Park,41.95977,-87.76832,Private room,44,2,71,2020-06-20,1.29,3,90
14349670,Loft Style Private Apt 2 (1 Room- 420 Friendly),71816766,Josh,,Edgewater,41.99588,-87.67162,Private room,38,1,203,2020-03-14,3.68,4,45
14357876,lux furnished condo with A+++ view in River North,556389,Cheryl,,Near North Side,41.89468,-87.62567,Entire home/apt,76,31,22,2021-01-02,0.41,1,261
14382622,Furnished University of Chicago Luxury Duplex,48388991,La,,Woodlawn,41.77609,-87.59189,Entire home/apt,64,30,1,2017-12-16,0.03,1,365
14400814,"The Dickens Place, flat!
One of Hollywood’s own.",77183388,Mary & Alex,,Logan Square,41.92026,-87.71145,Entire home/apt,136,2,234,2021-02-14,4.31,3,320
14429433,Studio Apartment in Nature Sancturary,88800453,Beatrice & Stefan,,East Garfield Park,41.88732,-87.7132,Entire home/apt,71,2,123,2019-10-27,2.25,1,221
14431243,"Spacious Queen Room w/Desk, TV, Bathroom &Home Gym",209564,Ami,,Lake View,41.94525,-87.65709,Private room,67,10,64,2020-02-13,1.16,6,90
14437950,"Cozy Condo, close to Downtown & Lake Michigan",71878654,Cherilyn,,Oakland,41.82338,-87.60333,Private room,50,2,124,2019-11-14,2.28,1,78
14446269,Private room with bath near U of C,67390878,Alex,,Hyde Park,41.80018,-87.60443,Private room,41,2,5,2019-10-02,0.09,1,294
14449619,Private Room in a Sunny Plant Filled Chicago Condo,20528482,Gavin,,West Town,41.89818,-87.66758,Private room,41,1,226,2021-01-04,4.13,1,155
14486985,In the heart of Pilsen's art community.,42645017,John,,Lower West Side,41.85657,-87.65362,Private room,23,2,101,2021-01-01,1.84,1,0
14490086,Perfect Vintage 1BR in Ukrainian Village,52704607,Nick,,West Town,41.90001,-87.68011,Entire home/apt,59,1,170,2021-02-14,3.14,4,345
14523308,"6 miles from Wrigley, Cubs '16 World Series Champs",33162319,Angie,,Portage Park,41.94432,-87.75361,Entire home/apt,91,1,62,2018-10-28,1.15,1,0
14529740,"Modern, private oasis in Wicker Park with deck!",38111959,Joanna (Dba Blue Sky Home Rentals),,West Town,41.90073,-87.67025,Entire home/apt,129,2,20,2020-04-30,0.41,3,0
14531526,Spacious Clean Chicago Three Bedroom w/Parking,85455802,Lou,,West Town,41.89286,-87.68706,Entire home/apt,162,2,111,2020-03-16,2.04,1,179
14539561,"A Chicago Home Private Sunny Chic, Roscoe Village & Wrigley",61228,Aisha,,North Center,41.94643,-87.68399,Entire home/apt,109,2,120,2021-02-14,2.20,1,74
14546442,"Sophisticated Edgewater 3BR, 1600 ft2 (+parking!)",9094538,Nicole,,Edgewater,41.98994,-87.66185,Entire home/apt,83,1,106,2020-12-30,1.93,43,233
14556304,Spacious & Relaxing Loft in Awesome Andersonville!,90128865,Marty & Rob,,Edgewater,41.9896,-87.6714,Private room,48,3,161,2021-02-15,3.00,3,179
14556875,HUGE Penthouse Near Lake & McCormick Pl w/Parking,66236551,Clay,,Douglas,41.83065,-87.61846,Entire home/apt,168,3,97,2020-09-07,1.88,2,166
14577181,Spacious Greystone 2Bd PH Near Lake & McCormick Pl,66236551,Clay,,Douglas,41.82998,-87.6171,Entire home/apt,141,3,5,2018-06-13,0.09,2,166
14578426,Logan square Hot spot!  Casa Havana,19069769,Brad,,Avondale,41.93266,-87.70723,Entire home/apt,95,7,20,2020-02-04,0.37,1,8
14586209,Global Village One-of-a-Kind Speak-Easy,38093665,Michael & Kelly,,West Ridge,42.00204,-87.69669,Entire home/apt,43,2,76,2020-03-09,1.42,1,110
14588581,Roscoe Village Haven,11257311,Olivia And Tom,,North Center,41.94428,-87.68633,Entire home/apt,96,2,97,2020-11-01,1.78,1,201
14595303,Lakeview Flat,45401863,Joe,,North Center,41.95219,-87.67404,Entire home/apt,161,1,143,2020-03-20,2.62,2,322
14611960,The Bucktown House - Damen Suite - Since 2008,90644159,Jean,,Logan Square,41.92055,-87.67794,Entire home/apt,338,4,53,2020-09-28,0.97,5,351
14631349,The Bucktown House - Historic Coachhouse Since '08,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,405,4,24,2019-10-19,0.45,5,247
14650354,Tranquil & Lush Haven in happening Bucktown,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,134,4,24,2020-10-29,0.50,5,198
14650845,Top Floor of Historic Coachhouse,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,203,4,32,2020-11-14,0.63,5,324
14692738,Guest bedroom in Rogers Park by the lake,5294649,Emily,,Rogers Park,42.00838,-87.66233,Private room,45,2,19,2020-11-29,1.01,1,94
14711066,SHARED Artist Loft . Very Unique,51668477,Michael,,Near North Side,41.89047,-87.63082,Private room,80,1,479,2021-02-16,8.77,8,333
14715067,The Firehouse B&B - The Bunk Room,91569484,Gary,,Irving Park,41.94858,-87.71012,Private room,110,1,18,2019-10-20,0.33,1,179
14728382,The Hide-Away | South Loop | Entire Apartment,1652379,Charlie,,Near South Side,41.86494,-87.62502,Entire home/apt,78,1,148,2021-02-15,2.74,2,319
14741430,Cozy garden apartment historic Jackson Bvld.,20810730,Mary,,Near West Side,41.87694,-87.66458,Entire home/apt,136,2,183,2021-01-03,3.41,1,338
14745479,"Clean & Renovated, Walking to distance to lake!",91881711,Megan,,Near North Side,41.90339,-87.62925,Entire home/apt,90,4,81,2021-01-12,1.57,4,85
14747242,Clean Quiet Open Study loft Apartment in Pilsen,48977460,Daniel,,Lower West Side,41.85357,-87.68268,Private room,41,1,24,2020-09-30,0.44,1,89
14774756,Decompress on a Sophisticated Chaise at a Glamorous Hideaway,26201109,Simida,,West Town,41.89976,-87.67868,Entire home/apt,176,2,80,2020-12-20,1.47,2,361
14801668,Two Bedroom Suite in Boutique Hotel,92467320,FieldHouse,,Near North Side,41.89774,-87.6364,Entire home/apt,500,1,117,2020-08-09,2.43,8,0
14806923,"*The Madison-Modern 2Br 12 mins to Downtn, 1 park",50492515,Anita,,Near West Side,41.88094,-87.67837,Entire home/apt,97,2,221,2021-02-12,4.08,3,354
14815127,Downtown LAKEVIEW  HUGE PENTHOUSE STYLE - POOL,55199486,Furnished Rental,,Near North Side,41.89369,-87.61588,Entire home/apt,200,31,1,2018-03-18,0.03,15,0
14820957,Twin bed private room (K3),36549783,Jeffrey,,Irving Park,41.96185,-87.73633,Private room,50,2,10,2019-10-14,0.22,10,90
14838457,Cute cozy single family home,9310072,Jill,,West Town,41.89814,-87.69568,Entire home/apt,250,3,24,2019-08-11,0.45,1,89
14840423,Cozy Bungalow Getaway,74191666,Lisa,,Albany Park,41.97272,-87.73985,Entire home/apt,75,2,29,2021-01-29,1.54,1,129
14843458,Entire apt all yours. Reserved guests n apt only!,20653807,Jericho,,Lincoln Square,41.96218,-87.67738,Entire home/apt,49,3,33,2019-09-13,0.61,1,0
14855907,The Marney Room: Airbnb Superhost,93017116,Randall,,Grand Boulevard,41.8121,-87.6083,Private room,65,1,89,2019-12-13,1.91,4,324
14859319,Beautiful Urban Oasis Near Downtown!,45316706,Katelyn,,West Town,41.90002,-87.66215,Entire home/apt,221,2,9,2019-08-04,0.29,1,0
